#ASSEMBLY_ID	GS19240-180-36-21-ASM
#FORMAT_VERSION	1.3
#GENERATED_AT	2010-Jul-14 14:19:17.452674
#GENERATED_BY	exportTools
#LIBRARY	GS00648-CLS_C05
#SAMPLE	GS00028-DNA_C01
#SOFTWARE_VERSION	1.8.0.23
#TYPE	LIB-MATE-GAPS

>mateGap	frequency
1135	4.88295e-08
1136	4.88295e-08
1137	4.88295e-08
1138	4.88295e-08
1139	4.88295e-08
1140	4.88295e-08
1141	4.88295e-08
1142	4.88295e-08
1143	4.88295e-08
1144	4.88295e-08
1145	4.88295e-08
1146	4.88295e-08
1147	4.88295e-08
1148	4.88295e-08
1149	4.88295e-08
1150	4.88295e-08
1151	4.88295e-08
1152	4.88295e-08
1153	4.88295e-08
1154	4.88295e-08
1155	4.88295e-08
1156	4.88295e-08
1157	4.88295e-08
1158	4.88295e-08
1159	4.88295e-08
1160	4.88295e-08
1161	4.88295e-08
1162	4.88295e-08
1163	4.88295e-08
1164	4.88295e-08
1165	4.88295e-08
1166	4.88295e-08
1167	4.88295e-08
1168	4.88295e-08
1169	4.88295e-08
1170	4.88295e-08
1171	4.88295e-08
1172	4.88295e-08
1173	4.88295e-08
1174	4.88295e-08
1175	4.88295e-08
1176	4.88295e-08
1177	4.88295e-08
1178	4.88295e-08
1179	4.88295e-08
1180	4.88295e-08
1181	4.88295e-08
1182	4.88295e-08
1183	4.88295e-08
1184	4.88295e-08
1185	4.88295e-08
1186	4.88295e-08
1187	4.88295e-08
1188	4.88295e-08
1189	4.88295e-08
1190	4.88295e-08
1191	4.88295e-08
1192	4.88295e-08
1193	4.88295e-08
1194	4.88295e-08
1195	4.88295e-08
1196	4.88295e-08
1197	4.88295e-08
1198	4.88295e-08
1199	4.88295e-08
1200	4.88295e-08
1201	4.88295e-08
1202	4.88295e-08
1203	4.88295e-08
1204	4.88295e-08
1205	4.88295e-08
1206	4.88295e-08
1207	4.88295e-08
1208	4.88295e-08
1209	4.88295e-08
1210	4.88295e-08
1211	4.88295e-08
1212	4.88295e-08
1213	4.88295e-08
1214	4.88295e-08
1215	4.88295e-08
1216	4.88295e-08
1217	4.88295e-08
1218	4.88295e-08
1219	4.88295e-08
1220	4.88295e-08
1221	4.88295e-08
1222	4.88295e-08
1223	4.88295e-08
1224	4.88295e-08
1225	4.88295e-08
1226	4.88295e-08
1227	4.88295e-08
1228	4.88295e-08
1229	4.88295e-08
1230	4.88295e-08
1231	4.88295e-08
1232	4.88295e-08
1233	4.88295e-08
1234	4.88295e-08
1235	4.88295e-08
1236	4.88295e-08
1237	4.88295e-08
1238	4.88295e-08
1239	4.88295e-08
1240	4.88295e-08
1241	4.88295e-08
1242	4.88295e-08
1243	4.88295e-08
1244	4.88295e-08
1245	4.88295e-08
1246	4.88295e-08
1247	4.88295e-08
1248	4.88295e-08
1249	4.88295e-08
1250	4.88295e-08
1251	4.88295e-08
1252	4.88295e-08
1253	4.88295e-08
1254	4.88295e-08
1255	4.88295e-08
1256	4.88295e-08
1257	4.88295e-08
1258	4.88295e-08
1259	4.88295e-08
1260	4.88295e-08
1261	4.88295e-08
1262	4.88295e-08
1263	4.88295e-08
1264	4.88295e-08
1265	4.88295e-08
1266	4.88295e-08
1267	4.88295e-08
1268	4.88295e-08
1269	4.88295e-08
1270	4.88295e-08
1271	4.88295e-08
1272	4.88295e-08
1273	4.88295e-08
1274	4.88295e-08
1275	4.88295e-08
1276	4.88295e-08
1277	4.88295e-08
1278	4.88295e-08
1279	4.88295e-08
1280	4.88295e-08
1281	4.88295e-08
